Feed_Flow_kg_h,Feed_Heavy_Fraction,Column_Pressure_kPa,Reflux_Ratio,Num_Stages,Murphree_Efficiency,Effective_Stages,Relative_Volatility,Separation_Power,Distillate_Rate_kg_h,Bottoms_Rate_kg_h,Reflux_Flow_kg_h,Distillate_Heavy_Fraction,Bottoms_Heavy_Fraction,Top_Tray_Temperature_C,Bottom_Temperature_C,Distillate_to_Feed,Reflux_to_Feed,Heavy_Recovery_to_Bottoms,Dataset,Mass_Balance_Error_kg_h,Heavy_Component_Balance_Error_kg_h
9496.907,0.53653,123.456,3.3933,16,0.7015,11.223,2.05929,6.26198,3197.348,6299.56,10849.579,0.175364,0.719837,81.559,99.746,0.33667,1.14243,0.889959,C,-0.001,0.019406
8908.712,0.50177,180.94,1.2612,17,0.7089,12.051,1.94452,4.4701,3259.592,5649.12,4111.123,0.277481,0.63119,85.368,102.316,0.36589,0.46147,0.797663,C,0.0,-0.01848
8482.062,0.35667,192.164,1.156,18,0.8494,15.289,1.92705,5.37744,3950.722,4531.34,4567.021,0.11129,0.5706,83.568,102.421,0.46577,0.53843,0.854665,C,0.0,0.038598
9314.675,0.4537,134.611,3.6603,16,0.6655,10.648,2.03274,5.93284,3603.084,5711.591,13188.252,0.144023,0.64906,81.695,99.984,0.38682,1.41586,0.877209,C,0.0,-0.024174
10839.721,0.62817,132.389,1.4999,26,0.7712,20.051,2.03782,8.56433,2633.26,8206.461,3949.668,0.132313,0.787281,81.435,100.76,0.24293,0.36437,0.948832,C,0.0,-0.017812
10274.652,0.48811,153.992,2.6238,23,0.8152,18.749,1.99214,9.35606,3861.903,6412.749,10132.883,0.049534,0.752238,81.312,101.772,0.37587,0.9862,0.961857,C,0.0,-0.048598
12072.607,0.46204,160.629,1.189,23,0.7073,16.268,1.97957,6.03388,4839.784,7232.823,5754.293,0.148144,0.672083,82.886,101.593,0.40089,0.47664,0.871463,C,0.0,-0.015003
9591.509,0.42409,157.06,1.3173,27,0.8831,23.843,1.98625,9.30154,4223.881,5367.627,5564.159,0.036679,0.728957,81.269,101.782,0.44038,0.58011,0.961913,C,0.001,-0.033954
10059.998,0.47203,130.561,1.7211,20,0.7849,15.699,2.04208,7.08939,3922.813,6137.185,6751.662,0.101424,0.708916,80.938,100.13,0.38994,0.67114,0.916214,C,0.0,0.004829
12182.005,0.55656,148.161,3.6496,24,0.7568,18.162,2.0037,9.90799,4112.557,8069.448,15009.19,0.054779,0.812293,81.132,101.85,0.33759,1.23208,0.966773,C,-0.0,-0.021181
10884.499,0.56869,143.48,2.2709,27,0.8337,22.509,2.01338,10.93611,3215.811,7668.688,7302.759,0.042998,0.789142,80.77,101.432,0.29545,0.67093,0.977662,C,0.0,-0.051491
9123.033,0.40383,139.794,2.0484,19,0.6857,13.029,2.02125,6.16095,4120.122,5002.911,8439.456,0.100778,0.653404,81.366,100.323,0.45162,0.92507,0.887296,C,0.0,0.014702
9749.448,0.6192,172.66,2.1598,20,0.8369,16.737,1.95824,7.68834,2216.741,7532.707,4787.698,0.183301,0.747473,83.819,102.692,0.22737,0.49107,0.932691,C,0.0,0.03226
10890.356,0.30472,130.939,1.4723,16,0.7485,11.976,2.04119,5.08892,5548.577,5341.779,8169.071,0.103439,0.513801,80.983,98.865,0.50949,0.75012,0.827052,C,0.0,-0.041368
13000.0,0.42792,171.98,3.3042,24,0.7211,17.306,1.9594,8.93617,5501.379,7498.621,18177.408,0.048299,0.706438,82.011,102.388,0.42318,1.39826,0.952236,C,0.0,-0.061926
9570.443,0.34149,138.907,3.1118,27,0.7583,20.474,2.02318,10.91884,4721.521,4848.921,14692.477,0.014959,0.659451,80.193,100.31,0.49334,1.53519,0.978389,C,0.001,-0.044455
10079.117,0.56844,139.445,1.414,19,0.7909,15.026,2.02201,6.1973,3105.941,6973.176,4391.88,0.211318,0.727511,82.809,100.791,0.30816,0.43574,0.885443,C,0.0,-0.030218
11600.338,0.50436,142.683,3.2917,24,0.749,17.975,2.01506,9.65967,4063.803,7536.535,13376.648,0.051327,0.748647,80.845,101.119,0.35032,1.15313,0.964349,C,0.0,-0.040661
8571.509,0.64187,158.763,1.4047,27,0.6505,17.564,1.98304,7.02409,2532.835,6038.674,3557.771,0.177907,0.836471,83.203,102.581,0.29549,0.41507,0.918098,C,0.0,0.009726
9424.72,0.65851,184.094,1.1318,22,0.6564,14.442,1.93949,5.07906,2547.472,6877.248,2883.321,0.404692,0.752523,87.16,103.262,0.2703,0.30593,0.833886,C,0.0,0.043532
11896.18,0.64306,170.378,3.4642,16,0.6793,10.869,1.96215,5.68515,3524.145,8372.035,12208.466,0.313669,0.78171,85.453,102.806,0.29624,1.02625,0.8555,C,0.0,0.038993
10764.833,0.58591,182.612,1.4305,21,0.6956,14.607,1.94184,5.70564,3454.413,7310.42,4941.697,0.253538,0.742972,85.112,103.131,0.3209,0.45906,0.86114,C,0.0,-0.039028
10134.935,0.69189,200.024,2.0011,25,0.7719,19.297,1.9155,8.36302,2320.905,7814.03,4644.259,0.162461,0.849137,84.508,104.598,0.229,0.45824,0.946229,C,0.0,0.021638
11617.343,0.42672,152.763,3.0991,27,0.8337,22.51,1.99453,11.74962,4815.689,6801.654,14924.278,0.017668,0.716332,80.839,101.469,0.41453,1.28465,0.982837,C,0.0,0.026599
7000.0,0.53633,153.904,3.708,24,0.8347,20.032,1.99231,10.8749,2165.474,4834.526,8029.551,0.035075,0.76085,81.117,101.824,0.30935,1.14708,0.979769,C,0.0,0.006892
11510.303,0.32917,160.811,1.8774,19,0.7194,13.669,1.97923,6.08871,5983.982,5526.321,11234.238,0.07857,0.600519,81.975,101.13,0.51988,0.97602,0.875908,C,0.0,0.024212
8548.959,0.62991,125.113,1.0599,18,0.7794,14.03,2.05517,5.20029,2890.952,5658.007,3064.229,0.288644,0.804281,83.139,100.412,0.33816,0.35843,0.845043,C,0.0,-0.008713
7806.933,0.38174,187.306,1.0429,21,0.8406,17.654,1.93446,5.94646,3717.562,4089.371,3876.999,0.093445,0.64383,83.165,102.689,0.47619,0.49661,0.883436,C,0.0,-0.028709
10262.667,0.59384,154.297,2.0551,19,0.6572,12.487,1.99155,5.78655,2724.738,7537.929,5599.616,0.297468,0.700969,84.597,101.45,0.2655,0.54563,0.867005,C,0.0,0.005255
10946.183,0.60636,165.149,3.237,22,0.8895,19.568,1.97134,10.14666,3496.746,7449.437,11318.993,0.055997,0.864701,81.849,103.095,0.31945,1.03406,0.970499,C,0.0,-0.015385
9489.559,0.52417,160.632,2.2863,19,0.7178,13.638,1.97956,6.47895,3801.565,5687.994,8691.688,0.133424,0.785326,82.692,102.34,0.4006,0.91592,0.898029,C,0.0,-0.007444
8774.833,0.54043,170.123,2.2774,21,0.8126,17.065,1.96259,7.99549,3071.095,5703.739,6994.091,0.090591,0.782646,82.499,102.8,0.34999,0.79706,0.941333,C,-0.001,-0.039082
10578.685,0.68123,131.091,2.6709,24,0.7775,18.659,2.04084,9.68469,2909.53,7669.155,7770.983,0.084972,0.907445,80.747,101.473,0.27504,0.73459,0.965694,C,0.0,-0.04736
9986.699,0.49585,200.916,2.7273,21,0.8608,18.076,1.91422,8.58808,3431.87,6554.829,9359.83,0.071392,0.718078,83.335,103.771,0.34364,0.93723,0.950522,C,0.0,0.018137
12140.701,0.42528,156.693,2.6483,26,0.7718,20.067,1.98695,10.00172,5621.164,6519.537,14886.796,0.029501,0.766525,81.159,102.01,0.463,1.22619,0.967883,C,-0.0,-0.020737
11918.008,0.52949,155.622,1.1493,23,0.8776,20.186,1.98899,7.42217,4450.669,7467.339,5114.995,0.111619,0.778541,82.199,102.033,0.37344,0.42918,0.921276,C,0.0,0.05726
10481.979,0.6184,184.642,2.0383,24,0.7668,18.404,1.93863,8.17314,2706.302,7775.678,5516.163,0.139069,0.785233,83.673,103.502,0.25819,0.52625,0.941938,C,-0.001,-0.025862
12297.021,0.57976,173.305,2.4928,21,0.8454,17.754,1.95714,8.50816,3919.669,8377.352,9770.756,0.098962,0.804713,82.73,103.1,0.31875,0.79456,0.945591,C,0.0,0.058551
10190.091,0.30354,186.143,2.0178,19,0.7059,13.412,1.93627,5.9257,5538.446,4651.645,11175.564,0.07059,0.580891,82.822,102.222,0.54351,1.09671,0.873601,C,0.0,0.042603
8558.361,0.53358,169.238,2.1345,26,0.7577,19.701,1.96413,9.05613,2771.405,5786.956,5915.513,0.066241,0.757384,82.144,102.59,0.32382,0.6912,0.959799,C,0.0,0.041741
11108.649,0.37346,212.365,1.9243,23,0.6545,15.054,1.89837,6.34966,5272.284,5836.365,10145.711,0.088094,0.631241,83.921,103.667,0.47461,0.91332,0.888046,C,0.0,0.02659
10926.54,0.48582,166.785,3.1901,17,0.8103,13.776,1.96843,7.10286,4109.822,6816.718,13110.854,0.110506,0.712097,82.633,102.169,0.37613,1.19991,0.914444,C,0.0,0.007235
9870.205,0.68419,147.136,2.1188,17,0.6902,11.733,2.00579,5.54829,2254.465,7615.741,4776.848,0.427967,0.760044,86.013,101.447,0.22841,0.48397,0.857128,C,-0.001,-0.039316
8807.147,0.65515,164.6,4.1288,26,0.8587,22.325,1.97233,12.20688,2657.554,6149.592,10972.443,0.0292,0.925658,81.474,103.469,0.30175,1.24586,0.986551,C,0.001,-0.017251
10432.978,0.41754,143.85,2.3997,20,0.8909,17.818,2.0126,8.79639,4132.931,6300.047,9917.677,0.049134,0.659226,80.868,100.596,0.39614,0.95061,0.953385,C,0.0,-0.036581
7001.915,0.41886,162.443,2.7132,27,0.6917,18.677,1.97623,9.29621,2668.446,4333.469,7240.028,0.038641,0.652997,81.513,101.56,0.3811,1.03401,0.964843,C,0.0,-0.031562
11485.919,0.48499,167.826,3.9118,24,0.8713,20.911,1.9666,11.26289,3987.633,7498.286,15598.691,0.028322,0.727846,81.589,102.325,0.34718,1.35807,0.979726,C,0.0,0.020642
10600.966,0.4632,183.759,3.671,25,0.8611,21.526,1.94002,11.2115,4082.386,6518.58,14986.412,0.024198,0.738131,82.126,103.151,0.3851,1.41368,0.979882,C,0.0,0.015901
7557.948,0.51023,181.409,3.3683,19,0.6713,12.755,1.94377,6.53683,2321.692,5236.256,7820.136,0.156207,0.667193,83.784,102.575,0.30719,1.03469,0.905954,C,0.0,0.033916
9977.867,0.57672,177.476,3.0306,20,0.6615,13.229,1.95017,6.64375,3202.53,6775.337,9705.703,0.175529,0.766352,83.896,103.046,0.32096,0.97272,0.902312,C,0.0,0.005507
9190.931,0.69161,194.555,1.3087,26,0.682,17.731,1.92348,6.5747,2330.922,6860.009,3050.488,0.26647,0.836068,85.698,104.278,0.25361,0.3319,0.902287,C,0.0,-0.015001
11866.658,0.43323,180.172,2.4321,25,0.7055,17.636,1.94577,8.3192,4468.042,7398.617,10866.909,0.066077,0.654951,82.549,102.437,0.37652,0.91575,0.942572,C,-0.001,0.025831
7094.017,0.30336,144.777,2.3013,17,0.711,12.087,2.01066,5.88523,3749.832,3344.185,8629.328,0.06678,0.568628,81.142,100.051,0.52859,1.21642,0.883637,C,0.0,0.029988
8864.87,0.4386,165.174,2.9589,18,0.8823,15.881,1.9713,8.05599,3303.483,5561.387,9774.798,0.067794,0.658866,82.006,101.737,0.37265,1.10264,0.942401,C,0.0,-0.033152
10934.568,0.47727,162.045,1.5721,27,0.7972,21.523,1.97696,8.96628,4925.206,6009.362,7743.146,0.047233,0.829721,81.611,102.706,0.45043,0.70813,0.955423,C,0.0,0.015166
11637.35,0.50321,218.282,1.3894,16,0.6827,10.923,1.89056,4.04517,4097.968,7539.383,5693.895,0.363896,0.578926,87.744,103.555,0.35214,0.48928,0.745348,C,-0.001,0.051888
7000.0,0.35626,185.634,2.3378,24,0.8447,20.273,1.93707,9.3883,3199.194,3800.806,7479.044,0.026534,0.633786,82.223,102.548,0.45703,1.06843,0.96596,C,0.0,0.034955
9605.117,0.31774,181.802,1.9682,18,0.7584,13.651,1.94314,6.01324,5638.933,3966.184,11098.414,0.065189,0.676813,82.597,102.657,0.58708,1.15547,0.879554,C,0.0,-0.031419
10738.464,0.49156,153.965,3.1783,17,0.8356,14.205,1.99219,7.44716,3925.347,6813.117,12475.94,0.10143,0.716332,81.995,101.534,0.36554,1.1618,0.924573,C,0.0,-0.002309
9573.354,0.59709,175.885,1.8137,24,0.6683,16.039,1.95281,6.91918,2976.119,6597.236,5397.841,0.168314,0.790513,83.742,103.13,0.31088,0.56384,0.912367,C,-0.001,0.030624
12235.283,0.60792,208.252,1.4743,21,0.712,14.952,1.90395,5.737,3615.915,8619.368,5331.055,0.294707,0.739318,86.519,104.214,0.29553,0.43571,0.856733,C,0.0,-0.016132
8074.488,0.31061,176.309,3.2104,16,0.855,13.681,1.9521,6.97759,4318.151,3756.337,13863.086,0.047597,0.612969,82.164,101.979,0.53479,1.7169,0.918051,C,0.0,-0.03245
10976.457,0.53996,159.569,2.8467,16,0.6888,11.02,1.98153,5.57716,3899.813,7076.643,11101.478,0.222112,0.715117,83.819,101.822,0.35529,1.01139,0.853852,C,0.001,0.024744
8428.257,0.4982,186.081,2.4583,27,0.7175,19.373,1.93637,9.10017,3635.822,4792.435,8937.925,0.045531,0.841614,82.489,103.94,0.43138,1.06047,0.960575,C,-0.0,0.034636
11944.325,0.43754,157.801,1.2756,23,0.8258,18.992,1.98485,7.2985,4606.964,7337.36,5876.723,0.093323,0.653662,82.047,101.324,0.3857,0.49201,0.917733,C,0.001,0.030847
10494.944,0.54709,179.233,4.0616,23,0.674,15.501,1.94729,8.28964,4044.463,6450.482,16426.828,0.079164,0.840479,82.688,103.618,0.38537,1.56521,0.944236,C,-0.001,0.008383
9952.73,0.36616,171.07,2.6856,24,0.6835,16.403,1.96095,8.04909,4920.606,5032.125,13214.81,0.044207,0.680981,81.923,102.175,0.4944,1.32776,0.940311,C,-0.001,-0.015127
7346.169,0.67702,160.473,2.125,19,0.8038,15.273,1.97986,7.09364,1903.123,5443.045,4044.131,0.200867,0.843501,83.576,102.716,0.25906,0.55051,0.923138,C,0.001,0.014828
12380.36,0.51852,204.648,1.8712,27,0.7878,21.272,1.90894,8.96326,3974.763,8405.597,7437.719,0.07511,0.728195,83.505,103.993,0.32105,0.60077,0.953494,C,0.0,0.006111
11050.797,0.33322,134.676,2.8776,19,0.7042,13.379,2.03259,7.04264,5473.339,5577.458,15750.339,0.058999,0.602318,80.576,99.68,0.49529,1.42527,0.912305,C,0.0,0.021701
11717.959,0.32872,192.22,3.5431,26,0.7541,19.606,1.92697,10.02986,6365.221,5352.737,22552.722,0.019016,0.697001,82.352,103.258,0.5432,1.92463,0.968576,C,0.001,0.023398
11750.907,0.4178,174.773,2.6145,27,0.8407,22.699,1.95467,11.0044,4994.045,6756.862,13057.179,0.021985,0.710349,81.769,102.548,0.42499,1.11116,0.977637,C,0.0,0.0047
11095.914,0.39038,179.464,2.0657,22,0.7561,16.635,1.94692,7.46786,4987.53,6108.384,10302.913,0.065717,0.655475,82.519,102.407,0.44949,0.92853,0.924332,C,0.0,-0.035604
9659.154,0.54372,164.739,1.012,16,0.8419,13.471,1.97208,4.60131,3412.491,6246.663,3453.481,0.304343,0.674487,85.111,101.818,0.35329,0.35753,0.802247,C,0.0,0.014478
8755.86,0.53176,192.784,2.2984,23,0.8752,20.131,1.92612,9.19511,2771.49,5984.37,6370.095,0.064729,0.748051,82.975,103.62,0.31653,0.72752,0.96147,C,0.0,0.006375
8861.111,0.51873,176.972,1.7878,16,0.7637,12.219,1.951,5.23729,3377.055,5484.056,6037.357,0.210235,0.708691,84.335,102.642,0.38111,0.68133,0.845539,C,0.0,0.04782
11967.302,0.61412,120.0,1.252,26,0.7468,19.416,2.06808,7.84328,4407.649,7559.653,5518.395,0.113435,0.90605,80.562,100.744,0.36831,0.46112,0.93197,C,0.0,-0.045761
8192.622,0.34264,176.74,3.5959,21,0.8196,17.211,1.95139,9.00287,4037.707,4154.915,14519.197,0.028148,0.648263,81.923,102.232,0.49285,1.77223,0.959512,C,0.0,-0.011037
9474.756,0.67003,160.477,3.3377,17,0.7878,13.393,1.97985,7.03889,2432.709,7042.047,8119.559,0.218647,0.825967,83.81,102.6,0.25676,0.85697,0.916215,C,0.0,-0.032196
9578.72,0.47121,171.58,2.2699,25,0.7913,19.782,1.96008,9.24168,3966.241,5612.478,9003.112,0.044244,0.77294,81.943,102.807,0.41407,0.93991,0.961121,C,0.001,-0.002461
10370.121,0.32133,169.605,3.4801,25,0.6527,16.317,1.96349,8.5521,5130.145,5239.975,17853.304,0.032919,0.60369,81.718,101.594,0.4947,1.72161,0.949318,C,0.001,0.03123
10799.595,0.33615,151.917,2.0268,19,0.7541,14.329,1.99619,6.63233,5086.099,5713.496,10308.613,0.071731,0.571524,81.517,100.467,0.47095,0.95454,0.899501,C,-0.0,0.052804
8409.069,0.62435,159.511,3.6518,17,0.7437,12.643,1.98164,6.78779,2128.593,6280.477,7773.159,0.218312,0.761961,83.767,102.128,0.25313,0.92438,0.911489,C,-0.001,0.0263
7872.688,0.41945,161.063,1.4207,16,0.8601,13.761,1.97877,5.5118,3336.308,4536.38,4739.832,0.134614,0.62894,82.725,101.33,0.42378,0.60206,0.863997,C,0.0,-0.025621
9974.09,0.48425,167.207,3.1929,27,0.7133,19.259,1.96768,9.92685,3824.435,6149.654,12211.026,0.039095,0.761089,81.707,102.514,0.38344,1.22427,0.969044,C,0.001,0.002783
11775.098,0.34459,168.44,3.8839,23,0.7944,18.271,1.96552,9.81881,5685.738,6089.361,22082.757,0.024184,0.643756,81.558,101.801,0.48286,1.87538,0.966112,C,-0.001,0.014452
11150.705,0.58798,198.904,1.5033,23,0.7235,16.64,1.91711,6.50344,2996.412,8154.293,4504.526,0.232412,0.718636,85.394,103.689,0.26872,0.40397,0.893782,C,0.0,0.020916
10247.868,0.33798,161.039,2.2724,24,0.7789,18.694,1.97881,8.85985,5353.738,4894.13,12165.884,0.029333,0.675604,81.334,101.637,0.52242,1.18716,0.954659,C,0.0,0.039425
9492.699,0.65679,155.576,2.8175,19,0.708,13.451,1.98908,6.82689,2692.038,6800.661,7584.769,0.209106,0.834004,83.484,102.396,0.28359,0.79901,0.909712,C,0.0,0.010002
10378.037,0.34401,151.979,2.1625,20,0.6866,13.731,1.99607,6.48971,4851.705,5526.332,10491.855,0.076778,0.578625,81.586,100.517,0.4675,1.01097,0.895662,C,0.0,-0.029552
9681.123,0.63274,162.276,2.6713,19,0.7558,14.36,1.97654,7.11884,2502.941,7178.182,6686.029,0.200649,0.783399,83.645,102.412,0.25854,0.69063,0.918014,C,0.0,0.040558
11219.237,0.47186,189.945,3.2222,23,0.6782,15.598,1.93041,7.82961,4252.958,6966.279,13703.679,0.083284,0.70909,83.122,103.238,0.37908,1.22144,0.933092,C,-0.0,-0.012959
8867.69,0.45787,160.541,3.5987,17,0.8488,14.43,1.97973,7.71224,3626.872,5240.818,13052.054,0.072732,0.724399,81.887,101.933,0.409,1.47187,0.935031,C,0.0,0.016248
10712.902,0.33897,179.957,1.6536,26,0.787,20.461,1.94611,8.48987,4838.768,5874.135,8001.487,0.039267,0.58584,82.188,101.971,0.45168,0.7469,0.947676,C,-0.001,0.045239
9767.161,0.44174,152.268,2.1558,18,0.6821,12.277,1.9955,5.79451,4413.388,5353.773,9514.277,0.127742,0.700584,82.271,101.338,0.45186,0.97411,0.869331,C,0.0,0.002987
10688.41,0.66701,148.047,3.2741,26,0.8434,21.93,2.00394,11.67712,2420.256,8268.153,7924.251,0.050478,0.847478,81.07,102.075,0.22644,0.74139,0.982864,C,0.001,0.028904
10806.121,0.32039,171.899,1.1526,20,0.8101,16.201,1.95953,5.83554,4566.278,6239.843,5263.028,0.100727,0.481138,82.7,100.897,0.42256,0.48704,0.867151,C,0.0,4.2e-05
13000.0,0.34185,174.563,1.8854,22,0.8003,17.606,1.95502,7.71235,6329.878,6670.122,11934.083,0.051465,0.617424,82.15,101.925,0.48691,0.91801,0.926696,C,0.0,-0.010577
12691.473,0.68047,180.855,1.5017,16,0.8792,14.068,1.94466,5.61634,2863.066,9828.407,4299.417,0.456575,0.745691,87.729,103.068,0.22559,0.33876,0.848636,C,0.0,0.007629
12084.407,0.62365,163.568,2.2693,27,0.7897,21.323,1.97419,10.06668,3522.363,8562.044,7993.123,0.067067,0.852624,81.933,102.935,0.29148,0.66144,0.968654,C,0.0,0.001903
7305.718,0.66966,153.215,3.6905,18,0.7741,13.934,1.99365,7.56431,1863.129,5442.589,6875.808,0.17095,0.840376,82.882,102.312,0.25502,0.94115,0.934898,C,0.0,0.02404
9224.943,0.6628,156.715,1.589,16,0.6504,10.406,1.98691,4.38496,1925.132,7299.811,3059.116,0.668565,0.661283,89.596,101.317,0.20869,0.33161,0.789498,C,0.0,-0.024573
9480.281,0.69045,129.654,2.5895,19,0.7802,14.824,2.04421,7.64643,2050.157,7430.123,5308.906,0.216303,0.821283,82.41,100.814,0.21625,0.55999,0.932252,C,0.001,-0.028801
10633.443,0.44424,140.892,3.1867,22,0.7334,16.134,2.01888,8.62748,5281.916,5351.526,16831.72,0.044491,0.838782,80.673,101.61,0.49673,1.5829,0.950252,C,0.001,0.039312
7322.12,0.62942,150.963,3.3274,21,0.7503,15.757,1.99808,8.38629,1842.788,5479.332,6131.724,0.122177,0.800012,82.142,101.923,0.25167,0.83742,0.951147,C,-0.0,0.011109
11864.194,0.43398,183.093,3.2588,27,0.6609,17.843,1.94108,9.05568,4740.418,7123.776,15448.163,0.048198,0.690687,82.419,102.808,0.39956,1.30208,0.955625,C,0.0,0.044771
11576.538,0.54582,158.393,3.5557,24,0.8263,19.832,1.98373,10.60284,3641.316,7935.222,12947.499,0.04444,0.775892,81.426,102.162,0.31454,1.11843,0.97439,C,0.0,0.01062
8555.005,0.30388,190.492,1.1197,22,0.8221,18.085,1.92958,6.27936,5057.264,3497.741,5662.664,0.054611,0.664295,82.763,102.966,0.59115,0.66191,0.893764,C,-0.0,-0.019182
8543.064,0.41675,157.403,2.3242,23,0.7483,17.211,1.9856,8.2542,3765.477,4777.587,8751.855,0.050303,0.70556,81.463,101.645,0.44076,1.02444,0.946798,C,0.0,0.032849
8721.667,0.42914,170.907,2.4421,22,0.8565,18.843,1.96124,9.00477,4008.013,4713.654,9788.163,0.038418,0.761373,81.84,102.698,0.45955,1.12228,0.95886,C,-0.0,-0.012554
10465.851,0.43454,175.218,3.9716,20,0.7577,15.155,1.95392,8.10949,4310.49,6155.361,17119.46,0.062609,0.694996,82.322,102.468,0.41186,1.63574,0.940658,C,0.0,0.004152
10902.446,0.35762,159.748,2.2557,20,0.7271,14.543,1.9812,6.88886,5269.503,5632.942,11886.57,0.068178,0.62838,81.795,101.259,0.48333,1.09027,0.907855,C,0.001,0.040469
13000.0,0.30568,146.783,2.8293,24,0.739,17.735,2.00651,9.12543,6970.303,6029.697,19721.311,0.025486,0.629592,80.685,100.567,0.53618,1.51702,0.955297,C,0.0,-0.054136
9795.114,0.39093,172.635,2.8882,27,0.8919,24.082,1.95828,12.02214,4272.516,5522.598,12340.028,0.013254,0.683113,81.573,102.266,0.43619,1.25981,0.985212,C,0.0,0.017501
11658.898,0.308,195.721,3.1957,25,0.7732,19.329,1.92176,9.61708,5568.787,6090.11,17796.178,0.023373,0.568256,82.528,102.561,0.47764,1.5264,0.963753,C,0.001,0.039777
10224.49,0.38029,161.569,1.2625,18,0.7914,14.245,1.97783,5.42104,4956.981,5267.509,6258.088,0.118423,0.626714,82.531,101.342,0.48481,0.61207,0.849027,C,0.0,0.029106
12832.665,0.55507,148.111,1.3738,27,0.7984,21.556,2.0038,8.67096,4033.127,8799.538,5540.689,0.092137,0.767249,81.623,101.55,0.31429,0.43176,0.947831,C,0.0,-0.009592
11201.636,0.52849,150.13,2.9325,26,0.6513,16.933,1.99974,8.75091,4267.882,6933.754,12515.388,0.067193,0.81243,81.381,101.959,0.38101,1.11728,0.951559,C,0.0,-0.008948
12025.693,0.57097,168.741,2.9631,22,0.7249,15.948,1.96499,8.05452,4171.865,7853.828,12361.799,0.104161,0.818939,82.625,102.972,0.34691,1.02795,0.936714,C,0.0,-0.041747
8833.558,0.5676,158.383,1.2848,27,0.666,17.981,1.98375,6.92593,2863.946,5969.611,3679.568,0.149617,0.768131,82.814,102.11,0.32421,0.41654,0.914539,C,0.001,-0.010755
9526.362,0.32232,155.918,3.365,26,0.8785,22.842,1.98843,12.10326,5010.509,4515.853,16860.512,0.008738,0.670259,80.853,101.334,0.52596,1.76988,0.985742,C,-0.0,-0.035944
8854.347,0.51358,164.25,2.6835,23,0.8446,19.426,1.97296,9.61689,3553.608,5300.739,9536.035,0.042668,0.829273,81.638,102.815,0.40134,1.07699,0.966656,C,0.0,0.030453
12370.112,0.45768,187.611,1.5666,16,0.7835,12.536,1.93399,5.04674,5134.176,7235.936,8043.032,0.201919,0.639152,84.607,102.672,0.41505,0.6502,0.81689,C,-0.0,0.00221
